Company_Name,Class,Designation,Location,Total_applicants,LinkedIn_Followers,Level,Involvement,Employee_count,Industry,PYTHON,C++,JAVA,HADOOP,SCALA,FLASK,PANDAS,SPARK,NUMPY,PHP,SQL,MYSQL,CSS,MONGODB,NLTK,TENSORFLOW,LINUX,RUBY,JAVASCRIPT,DJANGO,REACT,REACTJS,AI,UI,TABLEAU,NODEJS,EXCEL,POWER BI,SELENIUM,HTML,ML
Wipro,Class 3,Project Manager, Maharashtra,0,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Wipro,Class 3,Project Manager, Delhi,121,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Wipro,Class 3,Project Manager, Delhi,0,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Wipro,Class 3,Administrator, Telangana,0,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Class 3,Project Manager, Maharashtra,119,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Wipro,Class 3,Administrator, Telangana,39,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Class 3,Administrator, Telangana,22,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Class 3,Test Engineer, Maharashtra,158,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Class 3,Administrator, Maharashtra,11,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Class 3,Administrator, Maharashtra,47,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Class 3,Service Level Manager, Maharashtra,20,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Class 3,Administrator, Maharashtra,71,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Class 3,Project Manager, Maharashtra,1,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Wipro,Class 3,System Engineer, Maharashtra,104,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Class 3,Test Engineer, Karnataka,0,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Class 3,System Engineer, Maharashtra,0,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Class 3,Project Manager, Karnataka,0,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Wipro,Class 3,Lead Administrator, Maharashtra,5,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Class 3,Lead Administrator, Maharashtra,8,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wipro,Class 3,Business Analyst, Karnataka,0,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Wipro,Class 3,Project Manager, Karnataka,0,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Wipro,Class 3,Project Manager, Karnataka,77,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Wipro,Class 3,Technical Lead, Maharashtra,71,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Wipro,Class 3,Business Analyst, Maharashtra,186,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Wipro,Class 3,Developer, Maharashtra,191,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Class 3,Lead Administrator, Maharashtra,2,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Class 3,Technical Lead, Maharashtra,8,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Wipro,Class 3,Developer, Maharashtra,34,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Wipro,Class 3,Developer, Haryana,148,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Wipro,Class 3,Project Lead, Maharashtra,27,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Wipro,Class 3,Project Lead, Maharashtra,34,6737300,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Wipro,Class 3,DevOps Engineer, Karnataka,0,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
